collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
50,1 1 1 1 1,2 -4 -4 7 -4,41,hub_local,5,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
51,1 1 1 1 1,2 7 -4 -4 -4,35,local,1,0 2 0 0 0;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
51,1 1 1 1 1,2 7 -4 -4 -4,41,hub_local,5,0 -1 2 -1 2;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
52,1 1 1 1 1,4 -4 -4 -4 -4,20,baseline,52,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
52,1 1 1 1 1,4 -4 -4 -4 -4,20,hub,174,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
52,1 1 1 1 1,4 -4 -4 -4 -4,20,local,2,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
52,1 1 1 1 1,4 -4 -4 -4 -4,24,hub_local,2,0 0 2 0 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
53,1 1 1 1 1,6 -4 -4 -4 -4,28,local,1,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
53,1 1 1 1 1,6 -4 -4 -4 -4,34,hub_local,18,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
53,1 1 1 1 1,6 -4 -4 -4 -4,26,hub_local,2,0 1 2 1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 1 0 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
