mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
165,frob2+stable_rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
166,rank+stable_rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
167,frob2+rank+stable_rank+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
168,singular_values+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
169,frob2+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
170,rank+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
171,frob2+rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
172,stable_rank+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
173,frob2+stable_rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
174,rank+stable_rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
175,frob2+rank+stable_rank+singular_values+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
176,out_strength_distribution+in_strength_distribution+out_strength_vector,3,11200,11198,0.9998214285714285,0.9997169944813924,2561,0.0003903200624512104
177,frob2+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
178,rank+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
179,frob2+rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
180,stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
181,frob2+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
182,rank+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
