future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
1157,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1159,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1184,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1185,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1187,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1191,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1202,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1205,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1206,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1212,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1272,1,0,5,16,8,2,3,4,4,0,0,10,0,32,0,1 3 1 3 1
1273,2,1,5,12,6,3,2,3,10,2,2,10,1,32,2,1 2 2 2 1
1274,1,0,2,12,2,2,2,2,4,0,0,1,0,4,0,1 2 1 2 1
1275,1,0,4,15,11,3,3,4,2,0,0,6,0,12,0,1 3 1 2 2
1276,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 2 1 1
1278,1,0,3,12,5,2,2,2,8,0,0,3,0,16,0,1 2 2 1 1
1279,1,0,2,12,1,1,2,1,4,0,0,1,0,4,0,1 2 1 1 1
1280,2,1,5,12,6,3,2,3,10,2,2,10,1,32,2,1 2 1 2 2
1281,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 1 1 2
1282,1,0,2,12,2,2,2,2,4,0,0,1,0,4,0,1 2 1 2 1
1284,1,0,4,15,11,3,3,4,2,0,0,6,0,12,0,1 2 2 3 1
1285,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 2 1 1
1287,1,0,3,14,14,4,2,4,2,0,0,3,0,6,0,1 2 2 2 2
1288,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1290,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 2 1 1
1293,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 1 1 2
1294,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1308,1,0,3,12,5,2,2,2,8,0,0,3,0,16,0,1 1 1 2 2
1309,1,0,2,11,4,1,2,1,8,0,0,1,0,8,0,1 1 1 1 2
1316,1,0,2,12,1,1,2,1,4,0,0,1,0,4,0,1 1 1 2 1
1318,2,1,14,19,19,5,3,8,6,4,4,91,4,194,8,2 3 3 3 2
1319,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1320,2,1,6,18,15,5,3,6,4,2,2,15,1,32,2,2 2 3 2 2
1324,2,1,4,15,11,3,3,4,4,2,2,6,1,14,2,2 2 3 1 1
1329,3,1,12,18,15,5,3,6,14,8,8,66,14,190,28,2 3 2 2 2
1330,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1332,1,0,4,17,13,4,3,5,4,0,0,6,0,14,0,2 3 2 2 1
1333,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1339,1,0,3,14,7,3,2,3,4,0,0,3,0,8,0,2 2 2 1 1
1340,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1345,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1347,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1353,1,0,3,15,11,3,3,4,2,0,0,3,0,6,0,2 3 1 1 2
1354,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1355,1,0,2,14,7,2,2,2,2,0,0,1,0,2,0,2 1 1 1 2
1356,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1359,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1372,1,0,5,18,18,5,3,7,2,0,0,10,0,20,0,2 2 3 3 2
1374,3,1,5,17,14,4,3,5,8,4,4,10,4,40,12,2 1 3 2 2
1378,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1379,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1384,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1385,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1392,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1406,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1407,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1409,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1413,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1445,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1475,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1478,1,0,2,14,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
1479,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1484,1,0,2,11,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
1488,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1489,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
