field_id,color_class,deltaW
147,91,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 4 1;-1 -1 -1 0 -1;0 0 0 0 0
148,312,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 4 1;-1 -1 -1 0 0;-1 -1 -1 -1 0
149,102,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 4 1;0 0 0 0 0;-1 -1 -1 -1 0
150,179,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
151,258,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;0 0 0 0 0
152,315,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;1 1 1 1 0
153,32,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;2 2 2 2 0
154,680,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;3 3 3 3 0
155,316,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;4 4 4 4 0
156,179,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 0;0 0 0 0 0
157,56,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 1;-1 -1 -1 -1 0
158,307,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 1;0 0 0 0 0
159,465,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;-1 -1 -1 0 1;2 2 2 2 0
160,179,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;0 0 0 0 0;-1 -1 -1 -1 0
161,275,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;0 0 0 0 3;-1 -1 -1 -1 0
162,400,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;1 1 1 0 1;-1 -1 -1 -1 0
163,34,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;2 2 2 0 2;-1 -1 -1 -1 0
164,466,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;2 2 2 0 3;-1 -1 -1 -1 0
165,199,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;2 2 2 0 5;-1 -1 -1 -1 0
166,401,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 2 2;4 4 4 0 4;-1 -1 -1 -1 0
167,657,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 3 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
168,317,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 3 2;-1 -1 -1 0 -1;1 1 1 1 0
169,402,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 3 2;1 1 1 0 1;-1 -1 -1 -1 0
170,467,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 4 2;2 2 2 0 2;-1 -1 -1 -1 0
171,468,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 5 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
172,110,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 5 2;0 0 0 0 0;-1 -1 -1 -1 0
173,403,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 5 2;0 0 0 0 1;-1 -1 -1 -1 0
174,469,0 -1 -1 -1 -1;-1 0 -1 -1 -1;2 2 0 5 2;1 1 1 0 1;-1 -1 -1 -1 0
175,313,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;-1 -1 -1 -1 0
176,313,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;0 0 0 0 0
177,342,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;1 1 1 1 0
178,658,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;2 2 2 2 0
179,659,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;3 3 3 3 0
180,470,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;5 5 5 5 0
181,231,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 0;-1 -1 -1 -1 0
182,313,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;-1 -1 -1 0 0;0 0 0 0 0
183,404,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;1 1 1 0 1;-1 -1 -1 -1 0
184,421,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;1 1 1 0 4;-1 -1 -1 -1 0
185,471,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;2 2 2 0 2;-1 -1 -1 -1 0
186,472,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;3 3 3 0 3;-1 -1 -1 -1 0
187,660,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;3 3 3 0 6;-1 -1 -1 -1 0
188,473,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 3 3;5 5 5 0 5;-1 -1 -1 -1 0
189,474,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 4 3;-1 -1 -1 0 -1;2 2 2 2 0
190,475,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 4 3;2 2 2 0 2;-1 -1 -1 -1 0
191,476,0 -1 -1 -1 -1;-1 0 -1 -1 -1;3 3 0 6 3;1 1 1 0 2;-1 -1 -1 -1 0
192,477,0 -1 -1 -1 -1;-1 0 -1 -1 -1;4 4 0 4 4;-1 -1 -1 0 -1;-1 -1 -1 -1 0
193,318,0 -1 -1 -1 -1;-1 0 -1 -1 -1;4 4 0 4 4;-1 -1 -1 0 -1;2 2 2 2 0
194,405,0 -1 -1 -1 -1;-1 0 -1 -1 -1;4 4 0 4 4;2 2 2 0 2;-1 -1 -1 -1 0
195,406,0 -1 -1 -1 -1;-1 0 -1 -1 -1;4 4 0 4 4;2 2 2 0 5;-1 -1 -1 -1 0
196,478,0 -1 -1 -1 -1;-1 0 -1 -1 -1;5 5 0 5 5;-1 -1 -1 0 -1;3 3 3 3 0
197,479,0 -1 -1 -1 -1;-1 0 -1 -1 -1;5 5 0 5 5;3 3 3 0 3;-1 -1 -1 -1 0
198,480,0 -1 -1 -1 -1;-1 0 -1 -1 -1;5 5 0 5 5;3 3 3 0 6;-1 -1 -1 -1 0
199,75,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
200,20,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
201,212,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0
202,75,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
203,47,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;0 0 0 0 0
204,36,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
205,212,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;3 3 3 3 0
206,273,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
