future_id,n,edges,chi,lb,ub,seconds
2152,1,0,1,1,1,0
2154,1,0,1,1,1,0
2155,1,0,1,1,1,0
2158,1,0,1,1,1,0
2160,1,0,1,1,1,0
2161,1,0,1,1,1,0
2162,1,0,1,1,1,0
2166,1,0,1,1,1,0
2169,1,0,1,1,1,0
2172,4,0,1,1,1,0
2175,2,0,1,1,1,0
2176,1,0,1,1,1,0
2180,2,0,1,1,1,0
2181,1,0,1,1,1,0
2186,2,0,1,1,1,0
2188,1,0,1,1,1,0
2203,2,0,1,1,1,0
2205,1,0,1,1,1,0
2208,6,3,3,3,3,0
2209,2,0,1,1,1,0
2214,6,0,1,1,1,0
2215,1,0,1,1,1,0
2216,1,0,1,1,1,0
2217,1,0,1,1,1,0
2219,1,0,1,1,1,0
2235,1,0,1,1,1,0
2237,1,0,1,1,1,0
2242,2,0,1,1,1,0
2243,1,0,1,1,1,0
2246,1,0,1,1,1,0
2248,1,0,1,1,1,0
2249,1,0,1,1,1,0
2250,1,0,1,1,1,0
2251,1,0,1,1,1,0
2256,1,0,1,1,1,0
2269,1,0,1,1,1,0
2271,1,0,1,1,1,0
2297,1,0,1,1,1,0
2301,1,0,1,1,1,0
2303,1,0,1,1,1,0
2316,2,0,1,1,1,0
2318,1,0,1,1,1,0
2319,2,0,1,1,1,0
2321,1,0,1,1,1,0
2325,1,0,1,1,1,0
2327,1,0,1,1,1,0
2338,2,0,1,1,1,0
2343,1,0,1,1,1,0
2344,1,0,1,1,1,0
2349,1,0,1,1,1,0
2359,1,0,1,1,1,0
2360,1,0,1,1,1,0
2361,1,0,1,1,1,0
2362,1,0,1,1,1,0
2365,1,0,1,1,1,0
2368,1,0,1,1,1,0
2369,1,0,1,1,1,0
2373,1,0,1,1,1,0
2379,1,0,1,1,1,0
2380,1,0,1,1,1,0
2385,1,0,1,1,1,0
2395,1,0,1,1,1,0
2396,1,0,1,1,1,0
2420,1,0,1,1,1,0
2425,1,0,1,1,1,0
2435,1,0,1,1,1,0
2437,2,0,1,1,1,0
2438,1,0,1,1,1,0
2441,1,0,1,1,1,0
2454,1,0,1,1,1,0
2474,1,0,1,1,1,0
2484,1,0,1,1,1,0
2498,1,0,1,1,1,0
2502,5,0,1,1,1,0
2503,1,0,1,1,1,0
2504,1,0,1,1,1,0
